Antena,Latitud,Longitud,Temperatura media,Humedad,Precipitacion,Cultivo,Fiabilidad de siembra
LOMA GRANDE,18.9252777778,-97.2369444444,11.7,32.0,0.0,Jitomate,0.01
PLATON SANCHEZ,21.2975,-98.3563888889,18.54474,82.0,0.0,Jitomate,0.33
DZILAM,21.3905555556,-88.9041666667,22.2,88.0,0.0,Jitomate,0.33
CRED COMITAN,16.2355555556,-92.1352777778,19.648307499999998,0.0,0.0,Jitomate,0.33
PAREDON,16.0552777778,-93.8619444444,23.68656,0.0,0.0,Jitomate,0.33
RIO LAGARTOS,21.5713888889,-88.1602777778,22.5,83.0,0.0,Jitomate,0.33
AQUESPALA,15.7938888889,-91.9202777778,18.32307142857143,43.714285714285715,1.3714285714285714,Jitomate,0.33
ALVARADO,18.4254,-95.3757,21.8,86.0,0.0,Jitomate,0.33
F CHAYABE,16.3830555556,-91.7102777778,18.13748,0.0,0.0,Jitomate,0.33
TEZONCUALPA,19.9658333333,-98.2747222222,11.70258,0.0,0.0,Jitomate,0.01
MERIDAob,20.9466666667,-89.6519444444,23.5,75.0,0.0,Jitomate,0.67
HUAMANTLA,19.3861111111,-97.9663888889,9.4,43.0,0.0,Jitomate,0.01
CAMPECHE,19.8363888889,-90.5072222222,22.47221,0.0,0.0,Jitomate,0.33
MONCLOVA,18.0569444444,-90.8208333333,23.5914875,0.0,0.0,Jitomate,0.33
ZAPALUTA,16.1163888889,-92.0505555556,20.062261666666668,0.0,0.0,Jitomate,0.33
CRED REV MEX,16.1669444444,-93.0763888889,22.339165,0.0,0.0,Jitomate,0.33
APAN,19.7283333333,-98.4661111111,10.4,41.0,0.0,Jitomate,0.01
CALAKMUL II,18.0938888889,-89.4619444444,23.006683749999997,0.0,0.0,Jitomate,0.33
COSCOMA CBTA99,19.0658333333,-97.0408333333,13.7,93.0,0.0,Jitomate,0.33
TUXPANob,20.9597222222,-97.4172222222,19.3,85.0,0.0,Jitomate,0.33
TIZIMIN,21.1613888889,-87.9888888889,21.2,87.0,0.0,Jitomate,0.33
LAS FLORES II,16.6925,-93.5633333333,20.565725714285715,52.57142857142857,5.571428571428572,Jitomate,0.33
EL CHICO,20.1855555556,-98.7161111111,9.1,42.0,0.0,Jitomate,0.01
VILLAFLORES,16.2538888889,-93.2480555556,21.557108571428568,49.57142857142857,0.5571428571428572,Jitomate,0.33
F CUXTEPEQUES,15.7277777778,-92.9652777778,24.162728571428573,0.0,0.0,Jitomate,0.33
PSA ROJO GOMEZ,20.3594444444,-99.3186111111,14.4,39.0,0.0,Jitomate,0.33
XALAPAob,19.5125,-96.9041666667,16.64835,0.0,0.0,Jitomate,0.33
CARDENAS,17.9980555556,-93.3830555556,23.2,81.0,0.0,Jitomate,0.33
CITLALTEPEC,21.3344444444,-97.8786111111,19.2,92.0,0.0,Jitomate,0.33
CHMR MERIDA,20.9836111111,-89.6572222222,23.6,75.0,0.0,Jitomate,0.67
TLAXCALA,19.3247222222,-98.2466666667,11.9,50.0,0.0,Jitomate,0.01
ALVARADO II,18.472,-95.4528,22.7,83.0,0.0,Jitomate,0.33
ISLA DEL CARMEN,18.6580555556,-91.7652777778,22.893075000000003,0.0,0.0,Jitomate,0.33
LOS HULES,21.1944444444,-98.2872222222,18.414,0.0,0.0,Jitomate,0.33
SN FRANCISCO II,15.8727777778,-92.9513888889,21.042437142857146,56.285714285714285,0.0,Jitomate,0.33
SIERRA GORDA II,21.3208333333,-99.8313888889,12.6,50.0,0.0,Jitomate,0.33
PSA TUXPANGO,18.8455555556,-97.0394444444,16.1,0.0,0.0,Jitomate,0.33
OXKUTZCAB,20.2911111111,-89.3947222222,21.1,77.0,0.0,Jitomate,0.33
C SUMIDERO,16.8280555556,-93.095,17.331546250000002,16.125,0.0,Jitomate,0.33
CD ALEMAN,18.1897222222,-96.0980555556,22.4,86.0,0.0,Jitomate,0.33
HUEJUTLA,21.1547222222,-98.3686111111,19.2,0.0,0.0,Jitomate,0.33
CALAKMUL,18.365,-89.8925,23.344897500000002,0.0,0.0,Jitomate,0.33
CREDMOTOZINTLA,15.3566666667,-92.2461111111,18.867782499999997,0.0,0.0,Jitomate,0.33
LA MALINCHE I,19.2975,-98.0441666667,7.8,45.0,0.0,Jitomate,0.01
IXMIQUILPAN,20.4961111111,-99.1811111111,13.4,56.0,0.0,Jitomate,0.33
ACTOPAN,20.2805555556,-98.9725,12.8,59.0,0.0,Jitomate,0.33
ORIZABA,18.8652777778,-97.0980555556,14.5,88.0,0.0,Jitomate,0.33
EL SALADO,19.0408333333,-95.9708333333,20.4,71.0,0.0,Jitomate,0.67
POBLADO C11,18.1736111111,-93.6219444444,22.6,78.0,0.0,Jitomate,0.33
ACAYUCAN,17.9766666667,-94.9008333333,22.8,87.0,0.1,Jitomate,0.33
HUIXTLA,15.1469444444,-92.4713888889,23.454808571428572,0.0,0.0,Jitomate,0.33
VILLA LUIS GIL,17.8788888889,-93.0730555556,23.4,83.0,0.0,Jitomate,0.33
VERACRUZob,19.1427777778,-96.1111111111,22.4,76.0,0.0,Jitomate,0.33
LOS PETENES,19.9433333333,-90.3738888889,22.504313749999998,0.0,0.0,Jitomate,0.33
YAXCHILAN,16.8575,-90.9836111111,21.112558571428572,0.0,0.3714285714285714,Jitomate,0.33
LOS TUXTLAS II,18.375,-94.9311111111,16.8,96.0,0.0,Jitomate,0.33
DZILBACHEN,19.4622222222,-89.7238888889,22.9228,0.0,0.0,Jitomate,0.33
ALDEAS,18.3291666667,-93.5497222222,24.3,87.0,0.0,Jitomate,0.33
LOS TUXTLAS I,18.5841666667,-95.0736111111,13.4,69.0,0.2,Jitomate,0.67
ESCARCEGA,18.6083333333,-90.7538888889,23.4862175,0.0,0.0,Jitomate,0.33
ESCUINTLA,15.2975,-92.6761111111,22.29434375,0.0,0.0,Jitomate,0.33
MOTOZINTLA,15.3333333333,-92.2675,17.392737142857143,45.142857142857146,0.0,Jitomate,0.33
CAYO ARCAS,20.2038888889,-91.9627777778,22.70210333333333,0.0,0.0,Jitomate,0.33
COATZACOALCOob,18.14,-94.5108333333,22.8,68.0,0.0,Jitomate,0.67
COATZACOALCO,18.1497222222,-94.4066666667,22.9,93.0,0.0,Jitomate,0.33
CELESTUN,20.8580555556,-90.3830555556,21.7,100.0,0.0,Jitomate,0.33
